# NPC room data — auto-generated by generate_test_data.sh
# Format: room_path	npc_id	npc_file_path
# npc_id is the basename of the NPC file
/d/tianyue/courtyard	greeter	/d/tianyue/npc/greeter
/d/maoshan/lingyun	elder	/d/maoshan/npc/elder
/d/maoshan/yinfeng	disciple	/d/maoshan/npc/disciple
/d/wutuo/garden	apprentice	/d/wutuo/npc/apprentice
/d/wutuo/hall	master	/d/wutuo/npc/master
/d/jingji/yamen	official	/d/jingji/npc/official
/d/jingji/square	guard	/d/jingji/npc/guard
/d/jingji/inn	innkeeper	/d/jingji/npc/innkeeper
/d/graveyard/grave2	ghost	/d/graveyard/npc/ghost
/d/graveyard/grave2	zombie	/d/graveyard/npc/zombie
/d/graveyard/tomb_inner	zombie	/d/graveyard/npc/zombie
/d/graveyard/grave3	zombie	/d/graveyard/npc/zombie
/d/graveyard/shrine	grave_keeper	/d/graveyard/npc/grave_keeper
/d/kangping/street	agui	/d/kangping/npc/agui
/d/kangping/street	villager	/d/kangping/npc/villager
/d/kangping/inn	innkeeper	/d/kangping/npc/innkeeper
/d/kangping/thatched_hall	taoist	/d/kangping/npc/taoist
/d/fengshan/quarters	disciple	/d/fengshan/npc/disciple
/d/fengshan/main_hall	liudonglu	/d/fengshan/npc/liudonglu
/d/fengshan/sword_arena	disciple	/d/fengshan/npc/disciple
/d/lengmei/gate	servant	/d/lengmei/npc/servant
/d/lengmei/yard	disciple	/d/lengmei/npc/disciple
/d/lengmei/hall	meiyingfeng	/d/lengmei/npc/meiyingfeng
/d/sanyen/street	villager	/d/sanyen/npc/villager
/d/sanyen/inner_temple	temple_monk	/d/sanyen/npc/temple_monk
/d/sanyen/inn	innkeeper	/d/sanyen/npc/innkeeper
/d/buxuan/training	disciple	/d/buxuan/npc/disciple
/d/buxuan/quarters	maid	/d/buxuan/npc/maid
/d/buxuan/study	master	/d/buxuan/npc/master
/d/oldpine/road2	wolf	/d/oldpine/npc/wolf
/d/oldpine/road2	bandit	/d/oldpine/npc/bandit
/d/oldpine/cave_inner	bandit_chief	/d/oldpine/npc/bandit_chief
/d/oldpine/road1	snake	/d/oldpine/npc/snake
/d/oldpine/camp	bandit	/d/oldpine/npc/bandit
/d/oldpine/road3	bandit	/d/oldpine/npc/bandit
/d/yinjiao/gate	dark_guard	/d/yinjiao/npc/dark_guard
/d/yinjiao/gate	herald	/d/yinjiao/npc/herald
/d/yinjiao/hall	master	/d/yinjiao/npc/master
/d/weiguo/barracks	quartermaster	/d/weiguo/npc/quartermaster
/d/weiguo/square	soldier	/d/weiguo/npc/soldier
/d/weiguo/inn	innkeeper	/d/weiguo/npc/innkeeper
/d/chixiao/wishing_pool	tianling	/d/chixiao/npc/tianling
/d/chixiao/village_square	diling	/d/chixiao/npc/diling
/d/hudao/hall	hanxiao	/d/hudao/npc/hanxiao
/d/snow/smithy	smith	/d/snow/npc/smith
/d/snow/npath2	woman	/d/snow/npc/woman
/d/snow/fireplace	woodsword	/d/snow/npc/obj/woodsword
/d/snow/fireplace	woodblade	/d/snow/npc/obj/woodblade
/d/snow/square_n	child1	/d/snow/npc/child1
/d/snow/square_n	child2	/d/snow/npc/child2
/d/snow/square_n	child4	/d/snow/npc/child4
/d/snow/bazar	yu	/d/snow/npc/yu
/d/snow/warehouse	worker	/d/snow/npc/worker
/d/snow/square	pot	/d/snow/npc/obj/pot
/d/snow/square	gammer	/d/snow/npc/gammer
/d/snow/square	junkman	/d/snow/npc/junkman
/d/snow/ngate	garrison	/d/snow/npc/garrison
/d/snow/ngate	lieutenant	/d/snow/npc/lieutenant
/d/snow/inn_hall	waiter	/d/snow/npc/waiter
/d/snow/inn_hall	innkeeper	/d/snow/npc/innkeeper
/d/snow/inn_hall	luoyi	/d/snow/npc/luoyi
/d/snow/ruin2	girl	/d/snow/npc/girl
/d/snow/store	foreman	/d/snow/npc/foreman
/d/snow/store	wagon	/d/snow/npc/obj/wagon
/d/snow/store	crate	/d/snow/npc/obj/crate
/d/snow/ebridge	guard	/d/snow/npc/guard
/d/snow/herb_shop	herbalist	/d/snow/npc/herbalist
/d/snow/school	teacher	/d/snow/npc/teacher
/d/snow/school	alchemist	/d/snow/npc/alchemist
/d/snow/school	child3	/d/snow/npc/child3
/d/snow/court	oldman	/d/snow/npc/oldman
/d/snow/dilapidated_manor	darkrobe	/d/snow/npc/darkrobe
/d/snow/military_camp	recruiter	/d/snow/npc/recruiter
/d/snow/post_office	postman	/d/snow/npc/postman
/d/snow/mill	miller	/d/snow/npc/miller
/d/snow/tree	child	/d/snow/npc/child
/d/heifeng/gate	guard	/d/heifeng/npc/guard
/d/heifeng/yard	bandit	/d/heifeng/npc/bandit
/d/heifeng/hall	bandit_leader	/d/heifeng/npc/bandit_leader
/d/heifeng/cell	prisoner	/d/heifeng/npc/prisoner
/d/baolian/hall	master	/d/baolian/npc/master
/d/baolian/quarters	novice	/d/baolian/npc/novice
/d/baolian/courtyard	greeter	/d/baolian/npc/greeter
/d/tianxie/yard	disciple	/d/tianxie/npc/disciple
/d/tianxie/hall	master	/d/tianxie/npc/master
/d/tianxie/hall	shadow_guard	/d/tianxie/npc/shadow_guard
/d/longan/square	storyteller	/d/longan/npc/storyteller
/d/longan/inn	innkeeper	/d/longan/npc/innkeeper
/d/longan/market	merchant	/d/longan/npc/merchant
/d/hell/tower_base	tower_guard	/d/hell/npc/tower_guard
/d/hell/tower_mid	tower_guard	/d/hell/npc/tower_guard
/d/hell/path	wandering_ghost	/d/hell/npc/wandering_ghost
